0:00 - Alexander Hamilton
0:49 - Alexander Hamilton > Hurricane
3:41:00 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane
3:41:00 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
3:44:14 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane
3:44:18 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
3:47:32 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane
3:47:32 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
3:50:46 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane
3:50:46 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > History Has Its Eyes on You
3:51:46 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > History Has Its Eyes on You > Who Lives, Who Dies, Who Tells Your Story
3:55:24 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > History Has Its Eyes on You
3:55:56 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane
3:55:56 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
3:59:09 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane
3:59:20 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
4:02:34 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane
4:02:34 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
4:05:48 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane
4:05:48 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
4:09:02 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane
4:09:03 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet
4:10:28 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied
4:11:18 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied > Helpless
4:15:28 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied
4:17:18 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied > Helpless
4:21:28 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied
4:21:30 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied > Helpless
4:25:40 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied
4:25:43 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied > Helpless
4:29:53 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied
4:32:31 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet
4:32:32 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied
4:33:23 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied > Helpless
4:37:32 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied
4:39:22 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied > Helpless
